customer_id,book_id,quantity
313413,220322,3
301945,204965,4
307047,227840,5
309200,207960,3
307637,219597,3
311998,226015,6
313556,230840,7
308001,204640,4
312579,236141,3
308807,201638,1
313063,231210,1
310336,238019,2
308254,217464,3
309277,244729,2
311608,221648,4
309830,220371,2
300782,211949,4
312907,222104,4
306885,249226,3
312523,246953,5
301944,235077,3
304682,236038,4
304430,224943,1
309961,232326,2
310676,219303,3
303867,212026,2
306024,218133,3
311383,242921,2
305001,239875,5
304524,230452,6
306965,231675,3
306969,207614,4
308297,203166,5
311223,211039,4
308088,206946,1
305545,245688,1
301762,207882,7
308833,235878,2
302648,221843,5
310891,220613,4
312932,234116,2
308179,232361,5
303223,210038,2
302590,227584,2
303433,243660,4
310938,249359,2
309956,228197,2
311946,204428,5
308053,204590,1
304855,230874,2
300779,245245,3
309268,204858,3
307492,222443,4
309028,243717,2
307845,212902,4
306714,242956,1
310715,218500,1
314094,239588,4
301552,203374,5
302644,235959,4
304292,233008,3
300584,228824,3
303242,243755,3
314376,203062,2
311008,231404,3
313380,204592,1
304436,228140,3
303286,232661,1
300518,210973,3
304869,206981,1
312498,233779,2
309865,231621,1
301204,233031,3
302182,243417,6
310729,204151,2
303692,222770,3
306621,233134,3
313432,243105,3
303622,210601,3
301709,224357,5
307784,200102,3
302507,241035,4
304210,208275,2
310242,245096,1
308428,239840,4
304556,239245,4
312686,247619,3
301119,229799,2
312810,237450,3
313087,234701,3
300577,204018,2
310861,238282,3
308358,228009,4
302626,212259,2
304647,204424,1
314884,202097,3
308946,229909,2
308741,229738,2
305141,247143,2
311433,225624,1
308511,208450,1
313296,221944,1
304258,224846,2
311272,217990,4
304140,232649,4
307450,242221,2
304512,233165,3
301317,246158,4
302918,202638,5
303129,243219,2
308500,232733,1
310203,238712,2
314518,212813,3
303467,248438,1
303937,223087,2
300290,247086,1
305043,200940,1
309058,230112,2
303486,216978,1
312343,227058,3
304193,235466,5
314673,233907,4
305758,218282,1
313742,229617,1
314325,228428,4
300069,211524,2
309790,239086,4
313325,242551,2
309590,200071,7
311878,209457,2
306448,239191,3
303051,206347,2
308085,231785,1
302593,221659,1
312584,236544,3
302729,227879,2
307860,209477,3
302551,225121,4
302324,232378,1
300344,224779,2
301010,206235,2
305654,230964,3
300534,202294,2
312578,234434,2
314110,207878,6
314192,217818,2
307267,230885,2
307019,227163,1
309238,225433,1
311021,216004,3
309348,213118,1
306223,233058,3
301443,227385,1
309282,201858,2
314319,202279,2
300811,223786,2
309107,247014,4
310992,201833,4
300820,238571,2
303422,218021,2
305780,219646,6
300311,224268,3
310614,246081,3
301415,249325,1
303579,220331,1
306974,206415,2
306172,233892,2
312035,213095,5
301552,246369,4
301741,221188,6
305857,230392,2
309233,242576,4
303974,249669,1
306272,217318,2
309949,240715,1
314357,224430,3
312811,209960,1
305213,223908,4
313287,210310,7
300369,230516,4
310377,242962,6
308890,208775,1
313356,224795,3
311987,208387,5
314624,229941,4
314145,219993,1
300114,210322,2
300400,241468,4
301974,246949,2
313339,223684,1
311431,239047,4
312333,212150,5
302914,235563,1
311324,206978,3
300559,213453,2
302363,206378,2
305034,234167,4
302292,240455,6
303018,202587,2
310287,230925,1
304398,207520,5
300594,215364,3
311277,249847,1
301974,222134,4
312771,224654,4
304614,245181,1
306695,212051,5
307971,223949,3
302512,231384,4
300904,213149,3
308883,203201,2
301315,232142,1
302775,243541,2
313104,212967,6
312227,206402,3
302651,231397,5
306646,206636,2
305681,246314,1
300398,211110,4
302122,221264,3
309675,237710,3
310352,246628,2
303341,246516,1
311056,203342,7
302136,232997,3
304006,234932,4
312997,231224,2
308861,220128,3
311242,207905,2
312117,230502,4
313738,229379,1
300637,245272,6
313584,204401,5
300928,223917,3
314693,217215,3
301979,207676,4
303938,233443,2
311717,217605,2
306267,230579,3
314067,226307,3
309017,249353,2
302592,200129,4
304643,228575,3
314932,228785,5
313616,217005,3
301887,203840,6
300559,220690,4
301671,217705,3
312683,205200,4
313299,242541,4
314309,201286,1
314955,225313,2
310159,214483,3
310158,234286,5
314305,227414,4
301505,223243,3
311155,224747,3
304480,218226,1
306784,244284,2
301028,205423,3
300977,210856,5
313431,234019,3
309539,208152,4
303739,227839,5
312194,213799,2
301704,247506,6
309065,235501,1
308192,210856,2
312715,227023,3
313875,236270,2
310923,237482,1
313915,203783,4
307664,237017,3
309959,249155,3
300585,213723,2
301439,235979,2
301629,215088,2
301671,244572,2
304202,205101,1
312057,234956,1
300641,222063,3
302415,234918,5
311260,224838,2
314252,243103,6
304183,211734,1
305177,223110,1
314101,243388,1
313170,227616,1
310729,242658,5
307662,246831,3
305742,233042,7
304893,211496,3
305563,248522,7
304113,242976,3
311160,204906,4
300491,222477,3
311821,209371,3
302900,209007,3
308867,232311,4
304908,239801,3
313169,244166,8
300568,207315,3
310790,206258,7
300083,212893,2
301694,235920,1
306575,213996,5
307430,246868,2
302991,207894,2
310692,202336,1
305339,242103,3
301750,231128,2
303737,246708,3
313463,228847,3
309823,201025,5
313902,200884,3
301461,236672,2
314807,217800,4
304831,219805,4
305885,213338,5
311525,210100,4
314104,232009,2
304073,249186,2
310300,203650,1
313512,224780,5
304024,222976,3
309822,232662,5
301839,210951,5
309311,237263,3
304155,245750,2
311940,217111,5
300788,248864,3
305614,247446,3
301498,231255,3
305569,247138,7
313271,220530,6
307078,238131,2
308991,240741,1
308541,238798,3
306276,249982,3
309531,210370,3
307409,234953,5
314863,233510,2
310848,221034,2
313822,219100,3
307586,236363,5
300612,225822,3
311374,238638,2
302822,241079,1
301113,207213,4
310553,241798,1
313470,224227,6
304320,220267,2
304579,230343,2
309230,226501,4
307593,231431,3
306686,206687,4
305244,206199,1
306099,212942,7
309239,241897,3
313071,230205,3
311631,244987,5
306802,214357,3
305818,206485,6
304333,213718,1
308248,215375,3
314138,237282,5
302895,201656,3
309436,247245,2
311853,231711,2
309314,200256,4
302094,207910,3
314573,205932,5
306480,240161,2
302353,225265,3
312819,217844,3
302192,210678,5
303025,239755,5
301519,243117,1
314555,203941,3
310178,236847,8
309619,217737,1
300053,210289,2
307215,210170,5
311416,201946,2
300171,245742,1
307066,239094,3
306637,200594,2
307519,235698,2
309532,234699,3
300118,208980,2
309982,235877,6
301491,201297,2
303687,221574,2
309109,207327,3
305835,233848,4
